year,month,no_of_referrals
2018,01,283233
2018,02,261609
2018,03,280613
2018,04,272666
2018,05,308921
2018,06,294850
2018,07,310250
2018,08,287869
2018,09,273938
2018,10,326248
2018,11,320349
2018,12,273902
2019,01,319191
2019,02,295747
2019,03,321326
2019,04,301477
2019,05,328420
2019,06,313240
2019,07,339958
2019,08,286850
2019,09,309713
2019,10,354938
2019,11,328194
2019,12,293724
2020,01,352695
2020,02,342292
2020,03,297516
2020,04,214893
2020,05,261519
2020,06,316974
2020,07,345797
2020,08,306891
2020,09,340035
2020,10,363112
2020,11,359703
2020,12,324001
2021,01,320277
2021,02,326720
2021,03,404552
2021,04,366596
2021,05,387488
2021,06,394470
2021,07,376695
2021,08,327746
2021,09,366560
2021,10,378316
2021,11,406095
2021,12,357494
2022,01,389106
2022,02,383588
2022,03,425277
2022,04,352866
2022,05,419631
2022,06,383634
2022,07,378125
2022,08,371691
2022,09,382195
2022,10,399841
2022,11,430373
2022,12,354867
2023,01,423522
