,month,no_of_referrals
0,2018-01-01,283233
1,2018-02-01,261609
2,2018-03-01,280613
3,2018-04-01,272666
4,2018-05-01,308921
5,2018-06-01,294850
6,2018-07-01,310250
7,2018-08-01,287869
8,2018-09-01,273938
9,2018-10-01,326248
10,2018-11-01,320349
11,2018-12-01,273902
12,2019-01-01,319191
13,2019-02-01,295747
14,2019-03-01,321326
15,2019-04-01,301477
16,2019-05-01,328420
17,2019-06-01,313240
18,2019-07-01,339958
19,2019-08-01,286850
20,2019-09-01,309713
21,2019-10-01,354938
22,2019-11-01,328194
23,2019-12-01,293724
24,2020-01-01,352695
25,2020-02-01,342292
26,2020-03-01,297516
27,2020-04-01,214893
28,2020-05-01,261519
29,2020-06-01,316974
30,2020-07-01,345797
31,2020-08-01,306891
32,2020-09-01,340035
33,2020-10-01,363112
34,2020-11-01,359703
35,2020-12-01,324001
36,2021-01-01,320277
37,2021-02-01,326720
38,2021-03-01,404552
39,2021-04-01,366596
40,2021-05-01,387488
41,2021-06-01,394470
42,2021-07-01,376695
43,2021-08-01,327746
44,2021-09-01,366560
45,2021-10-01,378316
46,2021-11-01,406095
47,2021-12-01,357494
48,2022-01-01,389106
49,2022-02-01,383588
50,2022-03-01,425277
51,2022-04-01,352866
52,2022-05-01,419631
53,2022-06-01,383634
54,2022-07-01,378125
55,2022-08-01,371691
56,2022-09-01,382195
57,2022-10-01,399841
58,2022-11-01,430373
59,2022-12-01,354867
60,2023-01-01,423522
