id,title,all_artists,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6JNJERZGJwDVgkmbohBw7u,Self Control,Laura Branigan,0.814,0.686,6,-12.172,0,0.219,0.00382,0.155,0.778,106.679,246440,4
0cTwMCvozZBj8jCq6o27nk,Come Dancing,The Kinks,0.491,0.751,7,-11.549,1,0.23,1.22e-05,0.0666,0.916,152.43,236735,4
003vvx7Niy0yvhvHt4a68B,Mr. Brightside,The Killers,0.352,0.911,1,-5.23,1,0.00121,0.0,0.0995,0.236,148.033,222973,4
4ih3dyFZoeTdaeJW9mPbOI,Mr. Vain - Original Radio Edit,Culture Beat,0.703,0.997,9,-7.666,0,0.0726,0.0235,0.123,0.391,132.872,257467,4
5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0275,0.0,0.109,0.222,119.972,340707,4
3nvuPQTw2zuFAVuLsC9IYQ,Nothing Compares 2 U,Sinéad O'Connor,0.511,0.574,5,-7.016,1,0.0425,2.33e-05,0.105,0.161,119.917,280040,4
63OQupATfueTdZMWTxW03A,Karma Police,Radiohead,0.36,0.501,7,-9.129,1,0.0638,9.32e-05,0.172,0.324,74.807,264067,4
4hy4fb5D1KL50b3sng9cjw,Smells Like Teen Spirit,Nirvana,0.48,0.875,1,-5.898,1,1.62e-05,0.000751,0.103,0.826,116.754,300827,4
2JO3HwMRPeya8bXbtbyPcf,Love Will Tear Us Apart,Joy Division,0.443,0.956,2,-6.198,1,5.24e-05,0.825,0.135,0.909,146.754,206867,4
78chqvzuLt8SewW28b3WJP,Last Nite,The Strokes,0.618,0.904,0,-5.691,1,0.0215,0.000305,0.086,0.768,103.968,197533,4
5xMAMaVbW3tkjXTmSUBPTd,Common People,Pulp,0.311,0.895,0,-4.854,1,0.00735,4.09e-05,0.0824,0.496,145.583,349553,4
0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0.523,0.769,4,-5.855,1,0.04,0.0,0.136,0.876,136.162,244587,4
0ZyrgDl8C0Cq9Gt3nPxqvd,Live Forever,Oasis,0.263,0.778,9,-5.418,0,1.23e-05,7.64e-06,0.375,0.203,90.512,276867,4
5j6ZZwA9BnxZi5Bk0Ng4jB,Heroes - 1999 Remaster,David Bowie,0.478,0.774,7,-6.977,1,0.000265,0.585,0.191,0.429,112.577,370373,4
3m6KkYKdnbffMpGd9Pm9FP,Seven Nation Army,The White Stripes,0.745,0.466,4,-7.62,0,0.00666,0.35,0.272,0.303,123.889,231920,4
3AszgPDZd9q0DpDFt4HFBy,Hey Ya!,Outkast,0.715,0.97,0,-2.206,1,0.0644,0.000156,0.205,0.963,79.504,239240,4
4c6vZqYHFur11FbWATIJ9P,There She Goes,The La's,0.533,0.761,7,-10.632,1,0.013,0.829,0.207,0.917,122.777,162187,4
4QvrEeYaJChAe7PJ8DvJme,Once in a Lifetime - 2005 Remaster,Talking Heads,0.644,0.919,2,-6.289,1,0.181,0.134,0.622,0.871,117.459,259907,4
7FTmBYe7DHiOx1ZdaNzbZb,Animal Nitrate (Remastered),Suede,0.25,0.912,6,-4.861,1,0.53,0.0,0.0775,0.303,102.204,206333,4
1C9NuEa1wOF15EOBuWaaxS,Life On Mars? - 1999 Remastered Version,Ken Scott,0.44,0.591,10,-7.859,1,0.53,1.03e-05,0.171,0.373,121.398,223413,4
79RUMZfMNMpqZnswovvTqv,Wonderwall,Oasis,0.412,0.844,2,-5.613,1,0.00214,0.0,0.134,0.459,174.452,258907,4
1QFh8OH1e78dGd3VyJZCAC,Boys Don't Cry,The Cure,0.462,0.836,11,-5.766,0,0.00517,0.0,0.18,0.671,168.766,155973,4
1JHUxxd77M4ViaqJZfBdl0,Ashes to Ashes,David Bowie,0.702,0.788,1,-10.335,1,0.116,1.75e-05,0.192,0.846,120.788,263760,4
3ZlFUr0RBrUYYsmlcFvD0e,Paper Planes,M.I.A.,0.447,0.848,2,-6.175,1,0.033,7.46e-05,0.65,0.485,172.253,205200,4
7uiqqtFamY6GFmkpJ21yAo,Born to Run,Bruce Springsteen,0.279,0.871,4,-7.599,1,0.00371,1.62e-06,0.143,0.618,146.812,270560,4
4szG6nk3zNqvJxOD55Znf6,Unfinished Sympathy,Massive Attack,0.595,0.715,7,-12.393,1,0.025,0.182,0.192,0.709,114.408,316160,4
45xBWOa6oEAk1WlVyr5QAB,(White Man) in Hammersmith Palais,The Clash,0.692,0.694,9,-6.398,1,0.132,5.88e-06,0.0855,0.832,102.769,240560,4
4wGrK0Hqzv1X1BM81V7J46,Ever Fallen in Love (With Someone You Shouldn't've)?,Buzzcocks,0.259,0.737,4,-11.487,1,0.0657,5.36e-06,0.0521,0.859,175.068,162293,4
3x5IM9VEpsFLhkzy9YT2F0,Venus In Furs,Nico,0.327,0.64,8,-9.8,0,0.00181,0.544,0.0816,0.58,72.378,312253,4
0ancVQ9wEcHVd0RrGICTE4,Take Me Out,Franz Ferdinand,0.279,0.664,9,-8.851,1,0.000389,0.000655,0.133,0.49,104.56,237027,4
5YSI1311X8t31PBjkBG4CZ,Wuthering Heights,Kate Bush,0.481,0.392,1,-11.381,1,0.366,0.0452,0.124,0.52,124.572,269067,4
3iG8bFTe0yn6hDQ7XCbhq5,Into My Arms,Nick Cave & The Bad Seeds,0.506,0.118,0,-15.458,1,0.886,0.181,0.109,0.231,91.68,254427,4
5MSKj7wpVQqSYsnEz1SaTr,Fell In Love With a Girl,The White Stripes,0.213,0.977,0,-1.648,1,0.673,9.98e-05,0.849,0.356,90.403,110093,4
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),JAY-Z,0.646,0.77,2,-6.596,0,0.00249,0.0,0.0715,0.681,99.165,236133,4
5qv0ohJV2QNwga79jLNDYQ,Hallelujah,Jeff Buckley,0.26,0.133,0,-11.156,1,0.92,0.000716,0.154,0.0828,69.166,414587,4
3FtYbEfBqAlGO46NUDQSAt,Electric Feel,MGMT,0.763,0.803,1,-3.713,1,0.0709,0.285,0.348,0.561,103.04,229640,3
1jJci4qxiYcOHhQR247rEU,Kids,MGMT,0.451,0.931,9,-3.871,1,0.00076,0.0049,0.361,0.172,122.961,302840,4
7Ktt7hGxke6dEGNMDn5if2,The Cave,Mumford & Sons,0.59,0.51,4,-9.456,1,0.0487,8.79e-05,0.0819,0.331,141.939,218000,4
0nrRP2bk19rLc0orkWPQk2,Wake Me Up,Avicii,0.532,0.783,2,-5.697,1,0.0038,0.0012,0.161,0.643,124.08,247427,4
4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas,0.552,0.608,1,-9.786,0,0.352,0.0,0.0533,0.637,112.367,162373,4
5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac,0.545,0.67,9,-8.81,1,0.009,0.000822,0.0451,0.481,151.553,270213,4
2tBxJ43XiwEzhf7Xalc5UG,Songbird,Oasis,0.491,0.561,2,-6.396,1,0.274,2.16e-06,0.23,0.543,134.881,127600,4
7lrBHMaXy0klQR4KFZuwAs,Satellite Blues,AC/DC,0.541,0.696,2,-3.988,1,0.0329,0.00315,0.0593,0.786,118.901,226333,4
6Qyc6fS4DsZjB2mRW9DsQs,Iris,The Goo Goo Dolls,0.315,0.715,11,-8.072,0,0.00125,7.97e-06,0.0942,0.497,155.925,289533,3
6ZOBP3NvffbU4SZcrnt1k6,Kryptonite,3 Doors Down,0.545,0.865,11,-5.708,0,0.00664,1.1e-05,0.168,0.543,99.009,233933,4
0n2SEXB2qoRQg171q7XqeW,Smooth (feat. Rob Thomas),Rob Thomas,0.609,0.923,9,-3.908,1,0.16,4.73e-06,0.295,0.961,115.996,294987,4
6iNcyWk5iUEY7P9zeTc5hm,Amazed,Lonestar,0.557,0.553,1,-7.954,1,0.247,0.0,0.125,0.253,139.821,239987,4
5TAf4lnZCZTLlZHNZMLFLi,I Try,Macy Gray,0.593,0.642,2,-7.284,1,0.313,0.000582,0.0804,0.736,76.403,239440,4
2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Gabry Ponte,0.822,0.969,7,-11.471,0,0.259,0.000153,0.39,0.765,128.007,283748,4
6tzXYYFIyT4exRUghjHOsp,Jenny from the Block,Jennifer Lopez,0.844,0.785,6,-4.471,1,0.0129,0.0,0.0516,0.961,99.996,187907,4
2TuHz07SFJp7eYYo6B9sFB,When I'm Cleaning Windows (Turned Out Nice Again) - Mike Stock & Matt Aitken Radio Edit,2 In A Tent,0.643,0.973,8,-6.723,1,0.00887,0.369,0.734,0.875,142.003,160640,4
4wNATViXFXHOKsGgEehnBT,Teenage Kicks,The Undertones,0.415,0.782,2,-6.745,1,0.0011,0.0,0.14,0.564,135.029,148480,4
