isrc,artist,artist_id,track_name,track_spotify_id
GBARL1900429,MARK RONSON FT CAMILA CABELLO,3hv9jJF3adDNsBSIQDqcjp,FIND U AGAIN,1HpzOCZbNWzxvvXfSGtSrX
GB2DY2000067,AITCH/AJ TRACEY/TAY KEITH,2PJEagPIxaBugeMjIyKVXF,RAIN,3WgEwAp8HIMNCqkA3gpRqb
GBARL1900043,SWARMZ FT TION WAYNE,2yPprAQlrIQWu60g09B9MZ,BALLY,1AvLAAXMtq7IGi48x9TrD7
USUG12207230,LIL BABY,5f7VJjfbwm532GiveGC0ZK,CALIFORNIA BREEZE,6ug9fUi5oLLgQgOF1G8WkM
USRC12203886,PINK,1KCSPY1glIKqW2TotWuXOR,NEVER GONNA NOT DANCE AGAIN,6sZo5nJIsFWXefRCCexpx0
GBARL1900839,AITCH,2PJEagPIxaBugeMjIyKVXF,TASTE (MAKE IT SHAKE),1xPpYbCaJWonL7IFXPDjON
GBAHS2201156,KSI,1nzgtKYFckznkcVMR3Gg4z,SUMMER IS OVER,78nvT4euebtCsEigaNt4aa
USSM12105975,ADELE,4dpARuHxo51G3z768sgnrY,I DRINK WINE,6v0UJD4a2FtleHeSYVX02A
GBBKS1800047,NINES,0tPKcpC8yXpfdWXFcN7Vwr,I SEE YOU SHINING,3r4SN4dkmtUO960hPNFVMs
GBAYE7400041,MUD,3cqIsBnzV3BabbPWKz8Txf,LONELY THIS CHRISTMAS,5DMItYJluCFc7YtFdP4aXo
ZZOPM2118744,CENTRAL CEE,5H4yInM5zmHqpKIoMNAx4r,KHABIB,2ZVSjes0VFYg9uJu4olsi4
USSM12206234,BEYONCE,6vWDO969PvNqNYHIOW5v0m,BREAK MY SOUL,5pyoxDZ1PX0KxBxiRVxA4U
UK4ZF2100069,JOEL CORRY/RAYE/DAVID GUETTA,6DgP9otnZw5z6daOntINxp,BED,0siYMEsGrzzzlWLXK5zJfS
USSM11910404,HARRY STYLES,6KImCVD70vtIoJWnq6nGn3,LIGHTS UP,4jAIqgrPjKLTY9Gbez25Qb
QMCE31902405,MEGAN THEE STALLION/MINAJ,181bsRPaVXVlUKXrxwZfHK,HOT GIRL SUMMER,5N1o6d8zGcSZSeMFkOUQOk
GBARL2000759,M1LLIONZ,5ZD4VhNTUEnEBTlWQPeyzq,B1LLIONZ,0nUwolJufgmbOqAGjhE16b
USUG12201963,DERMOT KENNEDY,5KNNVgR6LBIABRIomyCwKJ,KISS ME,7j1ZJAbcm4AMBf82jIrAH3
GB2DY2100815,D-BLOCK EUROPE,5VadK1havLhK1OpKYsXv9y,FUNNY BUNNY NAILS,7tPO5mQWaJlcDK1Xp5Tp6X
GB1101901296,TOM WALKER,7z2avKuuiMAT4XZJFv8Rvh,BETTER HALF OF ME,114xcQz8sZ6fxRBTZmgmNE
GBUM72103283,ARRDEE,1rPf3UFQ9PzH7MafzfHTnG,OLIVER TWIST,65tX8MBdsnTiwy9UoIPHzr
USQX91903738,HOSH & 1979 FT JALJA,3qoTlYFOahAlAh9ee3qnbs,MIDNIGHT (THE HANGING TREE),2Rczayj2tsm1Uga5uQ58Kz
