,date,position,title,isrc,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,2018-04-27,1,ONE KISS,GBARL1800368,0.037,0.791,214847,0.862,2.19e-05,9,0.0814,-3.24,0,0.11,123.994,4,0.592
1,2018-04-27,2,NO TEARS LEFT TO CRY,USUM71805289,0.04,0.699,205920,0.713,3.11e-06,9,0.294,-5.507,0,0.0594,121.993,4,0.354
2,2018-04-27,3,NICE FOR WHAT,USCM51800077,0.0891,0.585,210747,0.909,9.7e-05,8,0.119,-6.474,1,0.0707,93.372,4,0.758
3,2018-04-27,4,FREAKY FRIDAY,QMRSZ1800283,0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,1,0.224,133.123,4,0.755
4,2018-04-27,5,PARADISE,GBARL1701373,0.209,0.642,222045,0.881,0.0,11,0.21,-3.537,1,0.0393,138.03,4,0.913
5,2018-04-27,6,LULLABY,GBCEN1700257,0.0784,0.725,204022,0.834,1.27e-05,5,0.0834,-3.913,0,0.037,120.026,4,0.859
6,2018-04-27,7,ANSWERPHONE,GBAYE1800222,0.0387,0.67,190921,0.834,0.0,1,0.454,-3.928,0,0.0886,113.019,4,0.454
7,2018-04-27,8,2002,GBAHS1800094,0.0372,0.697,186987,0.683,0.0,1,0.137,-2.881,0,0.117,96.133,4,0.603
8,2018-04-27,9,THE MIDDLE,USUM71800463,0.171,0.753,184732,0.657,0.0,7,0.112,-3.061,1,0.0449,107.01,4,0.437
9,2018-04-27,10,PSYCHO,USUM71710836,0.546,0.75,221440,0.56,0.0,8,0.111,-8.094,1,0.105,140.06,4,0.459
10,2018-04-27,11,MEANT TO BE,USWB11701186,0.047,0.643,163870,0.783,0.0,10,0.083,-6.458,1,0.0856,154.084,4,0.579
11,2018-04-27,12,LOVE LIES,USRC11703646,0.0956,0.708,201707,0.648,0.0,6,0.134,-5.626,1,0.0449,143.955,4,0.338
12,2018-04-27,13,THIS IS ME,USAT21704622,0.00583,0.284,234707,0.704,0.000115,2,0.0424,-7.276,1,0.186,191.702,4,0.1
13,2018-04-27,14,JUMANJI,TCADI1763759,0.279,0.791,173154,0.473,0.0,10,0.0959,-9.86,0,0.25,95.948,4,0.603
14,2018-04-27,15,THESE DAYS,GBAHS1701239,0.194,0.653,210773,0.809,0.0,0,0.165,-4.057,1,0.0474,92.213,4,0.55
15,2018-04-27,16,SAY SOMETHING,USRC11703503,0.103,0.707,278893,0.632,1.09e-05,10,0.0841,-7.031,1,0.0789,97.04,4,0.372
16,2018-04-27,17,KOD,QMJMT1801607,0.236,0.828,191437,0.783,0.0,0,0.108,-6.321,1,0.171,141.868,4,0.178
17,2018-04-27,18,IN MY BLOOD,USUM71803183,0.0573,0.622,211360,0.712,0.0,5,0.13,-7.321,1,0.066,140.025,4,0.487
18,2018-04-27,19,CALL OUT MY NAME,USUG11800560,0.17,0.461,228373,0.593,0.0,1,0.307,-4.954,1,0.0356,134.17,3,0.175
