,isrc,track_name,track_spotify_id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,mood
0,GBARL1900429,FIND U AGAIN,1HpzOCZbNWzxvvXfSGtSrX,0.00548,0.605,176417,0.664,3e-06,8,0.204,-7.162,1,0.0316,103.997,4,0.164,agitated
1,GB2DY2000067,RAIN,3WgEwAp8HIMNCqkA3gpRqb,0.0266,0.87,183066,0.87,1.95e-06,9,0.109,-4.797,1,0.202,150.145,4,0.83,happy
2,GBARL1900043,BALLY,1AvLAAXMtq7IGi48x9TrD7,0.236,0.818,165189,0.692,0.0,5,0.0784,-3.887,0,0.277,106.396,4,0.919,happy
3,USUG12207230,CALIFORNIA BREEZE,6ug9fUi5oLLgQgOF1G8WkM,0.00361,0.738,177789,0.666,0.0,5,0.107,-6.97,0,0.455,161.734,4,0.215,agitated
4,USRC12203886,NEVER GONNA NOT DANCE AGAIN,6sZo5nJIsFWXefRCCexpx0,0.0273,0.668,225789,0.802,0.0,5,0.163,-4.005,0,0.0917,113.796,4,0.769,happy
5,GBARL1900839,TASTE (MAKE IT SHAKE),1xPpYbCaJWonL7IFXPDjON,0.277,0.761,213680,0.442,0.0,0,0.125,-12.872,1,0.383,97.753,3,0.706,calm
6,GBAHS2201156,SUMMER IS OVER,78nvT4euebtCsEigaNt4aa,0.422,0.349,188561,0.745,1.18e-05,0,0.34,-5.234,1,0.0454,95.98,4,0.146,agitated
7,USSM12105975,I DRINK WINE,6v0UJD4a2FtleHeSYVX02A,0.697,0.437,376169,0.565,0.0,10,0.119,-5.596,1,0.0466,115.389,4,0.306,agitated
8,GBBKS1800047,I SEE YOU SHINING,3r4SN4dkmtUO960hPNFVMs,0.189,0.533,165747,0.806,1.78e-06,1,0.126,-6.243,0,0.3,137.029,5,0.522,happy
9,GBAYE7400041,LONELY THIS CHRISTMAS,5DMItYJluCFc7YtFdP4aXo,0.81,0.551,213160,0.325,0.000112,0,0.115,-13.507,1,0.0286,98.932,3,0.496,sad
10,ZZOPM2118744,KHABIB,2ZVSjes0VFYg9uJu4olsi4,0.522,0.773,201169,0.672,0.0,4,0.0851,-5.885,0,0.225,145.014,4,0.624,happy
11,USSM12206234,BREAK MY SOUL,5pyoxDZ1PX0KxBxiRVxA4U,0.0581,0.693,278282,0.887,2.71e-06,1,0.27,-5.039,0,0.0795,114.942,4,0.864,happy
12,UK4ZF2100069,BED,0siYMEsGrzzzlWLXK5zJfS,0.0142,0.671,178088,0.782,0.00221,6,0.333,-4.593,1,0.0341,123.989,4,0.618,happy
13,USSM11910404,LIGHTS UP,4jAIqgrPjKLTY9Gbez25Qb,0.0392,0.575,172213,0.621,0.0045,10,0.141,-8.165,0,0.032,101.987,4,0.27,agitated
