date,position,title,artist,label,isrc
27 April 2018,1,ONE KISS,CALVIN HARRIS & DUA LIPA,COLUMBIA/WARNER BROS,GBARL1800368
27 April 2018,2,NO TEARS LEFT TO CRY,ARIANA GRANDE,REPUBLIC RECORDS,USUM71805289
27 April 2018,3,NICE FOR WHAT,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800077
27 April 2018,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,BMG/COMMISSION,QMRSZ1800283
27 April 2018,5,PARADISE,GEORGE EZRA,COLUMBIA,GBARL1701373
27 April 2018,6,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND,GBCEN1700257
27 April 2018,7,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,PARLOPHONE,GBAYE1800222
27 April 2018,8,2002,ANNE-MARIE,EAST WEST,GBAHS1800094
27 April 2018,9,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE,USUM71800463
27 April 2018,10,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS,USUM71710836
27 April 2018,11,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,PARLOPHONE,USWB11701186
27 April 2018,12,LOVE LIES,KHALID & NORMANI,COLUMBIA,USRC11703646
27 April 2018,13,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC,USAT21704622
27 April 2018,14,JUMANJI,B YOUNG,GAME TIME,TCADI1763759
27 April 2018,15,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM,GBAHS1701239
27 April 2018,16,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,RCA,USRC11703503
27 April 2018,17,KOD,J COLE,INTERSCOPE,QMJMT1801607
27 April 2018,18,IN MY BLOOD,SHAWN MENDES,EMI,USUM71803183
27 April 2018,19,CALL OUT MY NAME,WEEKND,REPUBLIC RECORDS/XO,USUG11800560
27 April 2018,20,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,ATLANTIC,USAT21801431
27 April 2018,21,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,OPERATOR,GBUM71706433
27 April 2018,22,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,ISLAND,GBUM71800437
27 April 2018,23,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800004
27 April 2018,24,GERMAN,EO,COLUMBIA,GBARL1800469
27 April 2018,25,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC,GBAHS1800025
27 April 2018,26,WAKE ME UP,AVICII,POSITIVA/PRMD,SEUM71301326
27 April 2018,27,FEEL IT STILL,PORTUGAL THE MAN,ATLANTIC,USAT21700437
27 April 2018,28,ATM,J COLE,INTERSCOPE,QMJMT1801610
27 April 2018,29,LOOK ALIVE,BLOCBOY JB FT DRAKE,WARNER BROS,USWB11800211
27 April 2018,30,PHOTOGRAPH,J COLE,INTERSCOPE,QMJMT1801608
27 April 2018,31,VROOM,YXNG BANE,DISTURBING LONDON,GB7TP1700091
27 April 2018,32,LIKE I DO,GUETTA/GARRIX/BROOKS,PARLOPHONE,GB28K1820005
27 April 2018,33,FLAMES,DAVID GUETTA FT SIA,PARLOPHONE,GB28K1800015
27 April 2018,34,FAMILIAR,LIAM PAYNE & J BALVIN,CAPITOL,GBUM71800362
27 April 2018,35,BE CAREFUL,CARDI B,ATLANTIC,USAT21801270
27 April 2018,36,LEVELS,AVICII,ISLAND,SEUM71100962
27 April 2018,37,LET ME,ZAYN,RCA,USRC11800871
27 April 2018,38,IDGAF,DUA LIPA,WARNER BROS,GBAHT1600301
27 April 2018,39,SAD,XXXTENTACION,BAD VIBES FOREVER ,USUG11800208
27 April 2018,40,I SEE YOU SHINING,NINES,XL RECORDINGS,GBBKS1800047
04 May 2018,1,ONE KISS,CALVIN HARRIS & DUA LIPA,COLUMBIA/WARNER BROS,GBARL1800368
04 May 2018,2,NO TEARS LEFT TO CRY,ARIANA GRANDE,REPUBLIC RECORDS,USUM71805289
04 May 2018,3,NICE FOR WHAT,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800077
04 May 2018,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,BMG/COMMISSION,QMRSZ1800283
04 May 2018,5,2002,ANNE-MARIE,EAST WEST,GBAHS1800094
04 May 2018,6,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS,USUM71710836
04 May 2018,7,PARADISE,GEORGE EZRA,COLUMBIA,GBARL1701373
04 May 2018,8,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,PARLOPHONE,GBAYE1800222
04 May 2018,9,BETTER NOW,POST MALONE,REPUBLIC RECORDS,USUM71805184
04 May 2018,10,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND,GBCEN1700257
04 May 2018,11,PARANOID,POST MALONE,REPUBLIC RECORDS,USUM71710835
04 May 2018,12,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,PARLOPHONE,USWB11701186
04 May 2018,13,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE,USUM71800463
04 May 2018,14,LOVE LIES,KHALID & NORMANI,COLUMBIA,USRC11703646
04 May 2018,15,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,ATLANTIC,USAT21801431
04 May 2018,16,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM,GBAHS1701239
04 May 2018,17,CALL OUT MY NAME,WEEKND,REPUBLIC RECORDS/XO,USUG11800560
04 May 2018,18,GERMAN,EO,COLUMBIA,GBARL1800469
04 May 2018,19,FLAMES,DAVID GUETTA FT SIA,PARLOPHONE,GB28K1800015
04 May 2018,20,IN MY BLOOD,SHAWN MENDES,EMI,USUM71803183
04 May 2018,21,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,RCA,USRC11703503
04 May 2018,22,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,OPERATOR,GBUM71706433
04 May 2018,23,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC,USAT21704622
04 May 2018,24,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,ISLAND,GBUM71800437
04 May 2018,25,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC,GBAHS1800025
04 May 2018,26,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800004
04 May 2018,27,FEEL IT STILL,PORTUGAL THE MAN,ATLANTIC,USAT21700437
04 May 2018,28,MAKE YOUR OWN KIND OF MUSIC,PALOMA FAITH,RCA,GBARL1702291
04 May 2018,29,LIKE I DO,GUETTA/GARRIX/BROOKS,PARLOPHONE,GB28K1820005
04 May 2018,30,LOOK ALIVE,BLOCBOY JB FT DRAKE,WARNER BROS,USWB11800211
04 May 2018,31,FAMILIAR,LIAM PAYNE & J BALVIN,CAPITOL,GBUM71800362
04 May 2018,32,VROOM,YXNG BANE,DISTURBING LONDON,GB7TP1700091
04 May 2018,33,WAKE ME UP,AVICII,POSITIVA/PRMD,SEUM71301326
04 May 2018,34,BE CAREFUL,CARDI B,ATLANTIC,USAT21801270
04 May 2018,35,LET ME,ZAYN,RCA,USRC11800871
04 May 2018,36,IDGAF,DUA LIPA,WARNER BROS,GBAHT1600301
04 May 2018,37,KOD,J COLE,INTERSCOPE,QMJMT1801607
04 May 2018,38,A MILLION DREAMS,ZIV ZAIFMAN/JACKMAN/WILLIAMS,ATLANTIC,USAT21704617
04 May 2018,39,SAD,XXXTENTACION,BAD VIBES FOREVER ,USUG11800208
04 May 2018,40,NEVER ENOUGH,LOREN ALLRED,ATLANTIC,USAT21704621
11 May 2018,1,ONE KISS,CALVIN HARRIS & DUA LIPA,COLUMBIA/WARNER BROS,GBARL1800368
11 May 2018,2,NICE FOR WHAT,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800077
11 May 2018,3,NO TEARS LEFT TO CRY,ARIANA GRANDE,REPUBLIC RECORDS,USUM71805289
11 May 2018,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,BMG/COMMISSION,QMRSZ1800283
11 May 2018,5,2002,ANNE-MARIE,EAST WEST,GBAHS1800094
11 May 2018,6,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,PARLOPHONE,GBAYE1800222
11 May 2018,7,PARADISE,GEORGE EZRA,COLUMBIA,GBARL1701373
11 May 2018,8,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND,GBCEN1700257
11 May 2018,9,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS,USUM71710836
11 May 2018,10,BETTER NOW,POST MALONE,REPUBLIC RECORDS,USUM71805184
11 May 2018,11,FLAMES,DAVID GUETTA FT SIA,PARLOPHONE,GB28K1800015
11 May 2018,12,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE,USUM71800463
11 May 2018,13,LOVE LIES,KHALID & NORMANI,COLUMBIA,USRC11703646
11 May 2018,14,THIS IS AMERICA,CHILDISH GAMBINO,MCDJ RECORDING/RCA,USRC11801773
11 May 2018,15,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,PARLOPHONE,USWB11701186
11 May 2018,16,I'LL BE THERE,JESS GLYNNE,ATLANTIC,GBAHS1800322
11 May 2018,17,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,ATLANTIC,USAT21801431
11 May 2018,18,GERMAN,EO,COLUMBIA,GBARL1800469
11 May 2018,19,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM,GBAHS1701239
11 May 2018,20,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,OPERATOR,GBUM71706433
11 May 2018,21,IN MY BLOOD,SHAWN MENDES,EMI,USUM71803183
11 May 2018,22,PARANOID,POST MALONE,REPUBLIC RECORDS,USUM71710835
11 May 2018,23,CALL OUT MY NAME,WEEKND,REPUBLIC RECORDS/XO,USUG11800560
11 May 2018,24,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC,USAT21704622
11 May 2018,25,FAMILIAR,LIAM PAYNE & J BALVIN,CAPITOL,GBUM71800362
11 May 2018,26,SAY SOMETHING,JUSTIN TIMBERLAKE FT STAPLETON,RCA,USRC11703503
11 May 2018,27,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC,GBAHS1800025
11 May 2018,28,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800004
11 May 2018,29,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,ISLAND,GBUM71800437
11 May 2018,30,FEEL IT STILL,PORTUGAL THE MAN,ATLANTIC,USAT21700437
11 May 2018,31,VROOM,YXNG BANE,DISTURBING LONDON,GB7TP1700091
11 May 2018,32,LIKE I DO,GUETTA/GARRIX/BROOKS,PARLOPHONE,GB28K1820005
11 May 2018,33,LOOK ALIVE,BLOCBOY JB FT DRAKE,WARNER BROS,USWB11800211
11 May 2018,34,IDGAF,DUA LIPA,WARNER BROS,GBAHT1600301
11 May 2018,35,YOUTH,SHAWN MENDES FT KHALID,EMI,USUM71804955
11 May 2018,36,FIRST TIME,M-22 FT MEDINA,3 BEAT,GBSXS1700182
11 May 2018,37,JUMANJI,B YOUNG,GAME TIME,TCADI1763759
11 May 2018,38,A MILLION DREAMS,ZIV ZAIFMAN/JACKMAN/WILLIAMS,ATLANTIC,USAT21704617
11 May 2018,39,BE CAREFUL,CARDI B,ATLANTIC,USAT21801270
11 May 2018,40,MAN DOWN,SHAKKA FT ALUNAGEORGE,PARLOPHONE,GBAYE1800032
18 May 2018,1,ONE KISS,CALVIN HARRIS & DUA LIPA,COLUMBIA/WARNER BROS,GBARL1800368
18 May 2018,2,NICE FOR WHAT,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800077
18 May 2018,3,NO TEARS LEFT TO CRY,ARIANA GRANDE,REPUBLIC RECORDS,USUM71805289
18 May 2018,4,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,BMG/COMMISSION,QMRSZ1800283
18 May 2018,5,2002,ANNE-MARIE,EAST WEST,GBAHS1800094
18 May 2018,6,THIS IS AMERICA,CHILDISH GAMBINO,MCDJ RECORDING/RCA,USRC11801773
18 May 2018,7,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,PARLOPHONE,GBAYE1800222
18 May 2018,8,PARADISE,GEORGE EZRA,COLUMBIA,GBARL1701373
18 May 2018,9,FLAMES,DAVID GUETTA FT SIA,PARLOPHONE,GB28K1800015
18 May 2018,10,IN MY BLOOD,SHAWN MENDES,EMI,USUM71803183
18 May 2018,11,BETTER NOW,POST MALONE,REPUBLIC RECORDS,USUM71805184
18 May 2018,12,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND,GBCEN1700257
18 May 2018,13,I'LL BE THERE,JESS GLYNNE,ATLANTIC,GBAHS1800322
18 May 2018,14,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS,USUM71710836
18 May 2018,15,GERMAN,EO,COLUMBIA,GBARL1800469
18 May 2018,16,LOVE LIES,KHALID & NORMANI,COLUMBIA,USRC11703646
18 May 2018,17,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE,USUM71800463
18 May 2018,18,FOUR OUT OF FIVE,ARCTIC MONKEYS,DOMINO RECORDINGS,GBCEL1800169
18 May 2018,19,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,ATLANTIC,USAT21801431
18 May 2018,20,FAMILIAR,LIAM PAYNE & J BALVIN,CAPITOL,GBUM71800362
18 May 2018,21,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,OPERATOR,GBUM71706433
18 May 2018,22,GIRLS,RITA ORA/CARDI B/REXHA/CHARLI,ATLANTIC,GBAHS1800321
18 May 2018,23,STAR TREATMENT,ARCTIC MONKEYS,DOMINO RECORDINGS,GBCEL1800164
18 May 2018,24,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM,GBAHS1701239
18 May 2018,25,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC,USAT21704622
18 May 2018,26,ONE POINT PERSPECTIVE,ARCTIC MONKEYS,DOMINO RECORDINGS,GBCEL1800165
18 May 2018,27,PARANOID,POST MALONE,REPUBLIC RECORDS,USUM71710835
18 May 2018,28,CALL OUT MY NAME,WEEKND,REPUBLIC RECORDS/XO,USUG11800560
18 May 2018,29,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC,GBAHS1800025
18 May 2018,30,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800004
18 May 2018,31,MAD LOVE,SEAN PAUL/GUETTA/BECKY G,ISLAND,GBUM71800437
18 May 2018,32,VROOM,YXNG BANE,DISTURBING LONDON,GB7TP1700091
18 May 2018,33,FIRST TIME,M-22 FT MEDINA,3 BEAT,GBSXS1700182
18 May 2018,34,FEEL IT STILL,PORTUGAL THE MAN,ATLANTIC,USAT21700437
18 May 2018,35,LIKE I DO,GUETTA/GARRIX/BROOKS,PARLOPHONE,GB28K1820005
18 May 2018,36,MEANT TO BE,BEBE REXHA FT FLORIDA GEORGIA,PARLOPHONE,USWB11701186
18 May 2018,37,LOOK ALIVE,BLOCBOY JB FT DRAKE,WARNER BROS,USWB11800211
18 May 2018,38,IF YOU'RE OVER ME,YEARS & YEARS,POLYDOR,GBUM71801455
18 May 2018,39,BACK TO YOU,SELENA GOMEZ,INTERSCOPE,USUV71801467
18 May 2018,40,MAN DOWN,SHAKKA FT ALUNAGEORGE,PARLOPHONE,GBAYE1800032
25 May 2018,1,ONE KISS,CALVIN HARRIS & DUA LIPA,COLUMBIA/WARNER BROS,GBARL1800368
25 May 2018,2,NICE FOR WHAT,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800077
25 May 2018,3,NO TEARS LEFT TO CRY,ARIANA GRANDE,REPUBLIC RECORDS,USUM71805289
25 May 2018,4,2002,ANNE-MARIE,EAST WEST,GBAHS1800094
25 May 2018,5,ANSWERPHONE,BANX & RANX/ELLA EYRE/BANE,PARLOPHONE,GBAYE1800222
25 May 2018,6,I'LL BE THERE,JESS GLYNNE,ATLANTIC,GBAHS1800322
25 May 2018,7,FLAMES,DAVID GUETTA FT SIA,PARLOPHONE,GB28K1800015
25 May 2018,8,PARADISE,GEORGE EZRA,COLUMBIA,GBARL1701373
25 May 2018,9,THIS IS AMERICA,CHILDISH GAMBINO,MCDJ RECORDING/RCA,USRC11801773
25 May 2018,10,BETTER NOW,POST MALONE,REPUBLIC RECORDS,USUM71805184
25 May 2018,11,LULLABY,SIGALA & PALOMA FAITH,MINISTRY OF SOUND,GBCEN1700257
25 May 2018,12,SOLO,CLEAN BANDIT FT DEMI LOVATO,ATLANTIC,GBAHS1800328
25 May 2018,13,GERMAN,EO,COLUMBIA,GBARL1800469
25 May 2018,14,LOVE LIES,KHALID & NORMANI,COLUMBIA,USRC11703646
25 May 2018,15,FREAKY FRIDAY,LIL DICKY FT CHRIS BROWN,BMG/COMMISSION,QMRSZ1800283
25 May 2018,16,PSYCHO,POST MALONE FT TY DOLLA SIGN,REPUBLIC RECORDS,USUM71710836
25 May 2018,17,THE MIDDLE,ZEDD/MAREN MORRIS/GREY,INTERSCOPE,USUM71800463
25 May 2018,18,IN MY BLOOD,SHAWN MENDES,EMI,USUM71803183
25 May 2018,19,I LIKE IT,CARDI B/BAD BUNNY/J BALVIN,ATLANTIC,USAT21801431
25 May 2018,20,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI,OPERATOR,GBUM71706433
25 May 2018,21,FAMILIAR,LIAM PAYNE & J BALVIN,CAPITOL,GBUM71800362
25 May 2018,22,THIS IS ME,SETTLE/GREATEST SHOWMAN ENS,ATLANTIC,USAT21704622
25 May 2018,23,THESE DAYS,RUDIMENTAL/GLYNNE/MACKLEMORE,ASYLUM,GBAHS1701239
25 May 2018,24,IF YOU'RE OVER ME,YEARS & YEARS,POLYDOR,GBUM71801455
25 May 2018,25,GIRLS,RITA ORA/CARDI B/REXHA/CHARLI,ATLANTIC,GBAHS1800321
25 May 2018,26,FIRST TIME,M-22 FT MEDINA,3 BEAT,GBSXS1700182
25 May 2018,27,VROOM,YXNG BANE,DISTURBING LONDON,GB7TP1700091
25 May 2018,28,MAN DOWN,SHAKKA FT ALUNAGEORGE,PARLOPHONE,GBAYE1800032
25 May 2018,29,BACK TO YOU,SELENA GOMEZ,INTERSCOPE,USUV71801467
25 May 2018,30,FRIENDS,MARSHMELLO & ANNE-MARIE,ASYLUM/ATLANTIC,GBAHS1800025
25 May 2018,31,GOD'S PLAN,DRAKE,CASH MONEY/REPUBLIC RECORDS,USCM51800004
25 May 2018,32,LIKE I DO,GUETTA/GARRIX/BROOKS,PARLOPHONE,GB28K1820005
