isrc,title,artist
GBARL1900429,FIND U AGAIN,MARK RONSON FT CAMILA CABELLO
GB2DY2000067,RAIN,AITCH/AJ TRACEY/TAY KEITH
GBARL1900043,BALLY,SWARMZ FT TION WAYNE
USUG12207230,CALIFORNIA BREEZE,LIL BABY
USRC12203886,NEVER GONNA NOT DANCE AGAIN,PINK
GBARL1900839,TASTE (MAKE IT SHAKE),AITCH
GBAHS2201156,SUMMER IS OVER,KSI
USSM12105975,I DRINK WINE,ADELE
GBBKS1800047,I SEE YOU SHINING,NINES
GBAYE7400041,LONELY THIS CHRISTMAS,MUD
ZZOPM2118744,KHABIB,CENTRAL CEE
USSM12206234,BREAK MY SOUL,BEYONCE
UK4ZF2100069,BED,JOEL CORRY/RAYE/DAVID GUETTA
USSM11910404,LIGHTS UP,HARRY STYLES
QMCE31902405,HOT GIRL SUMMER,MEGAN THEE STALLION/MINAJ
GBARL2000759,B1LLIONZ,M1LLIONZ
USUG12201963,KISS ME,DERMOT KENNEDY
GB2DY2100815,FUNNY BUNNY NAILS,D-BLOCK EUROPE
GB1101901296,BETTER HALF OF ME,TOM WALKER
GBUM72103283,OLIVER TWIST,ARRDEE
USQX91903738,MIDNIGHT (THE HANGING TREE),HOSH & 1979 FT JALJA
ZZOPM2104432,DIDN'T KNOW,TOM ZANETTI
USSM12200615,MATILDA,HARRY STYLES
GBAHS2100816,SHIVERS,ED SHEERAN
GBUM71706433,BAD VIBE,M O/LOTTO BOYZZ/MR EAZI
USUM71920452,SELAH,KANYE WEST
USAT21903300,NO IDEA,DON TOLIVER
USUG11901267,ME,TAYLOR SWIFT FT BRENDON URIE
GB2DY2000299,FREE 22,D-BLOCK EUROPE
USWD12112915,WE DON'T TALK ABOUT BRUNO,GAITAN/CASTILLO/ADASSA/FELIZ
GB1302201162,DELILAH (PULL ME OUT OF THIS),FRED AGAIN
USUM71915730,HOLLYWOOD'S BLEEDING,POST MALONE
USUG12104402,FAIR TRADE,DRAKE FT TRAVIS SCOTT
USUG12208615,MAJOR DISTRIBUTION,DRAKE & 21 SAVAGE
GBUM72201110,BABY,AITCH/ASHANTI
USUMV2202922,REAL SPILL,LIL BABY
USUMV2201747,FALLING BACK,DRAKE
USUG12301406,ALL OF THE GIRLS YOU LOVED BEFORE,TAYLOR SWIFT
USUG12205721,SNOW ON THE BEACH,TAYLOR SWIFT FT LANA DEL REY
ZZOPM2002677,ON DECK,ABRA CADABRA
USRC11901655,MOTIVATION,NORMANI
GBHMU2000062,SWEET MELODY,LITTLE MIX
GBUM71900909,WHAT I LIKE ABOUT YOU,JONAS BLUE FT THERESA REX
GBAHS2001086,THIS CHRISTMAS,JESS GLYNNE
USUG12208791,CREEPIN',METRO BOOMIN/WEEKND/21 SAVAGE
GBUM71801867,WHEN I KISSED THE TEACHER,JAMES/KEENAN WYNN/DAVIES/IMRIE
GBAHS1800322,I'LL BE THERE,JESS GLYNNE
GBUM71905291,G LOVE,KREPT & KONAN/WIZKID
GBAKX2000012,CANCELLED,SLOWTHAI FT SKEPTA
USA2P2212455,YET TO COME,BTS
QMJMT2204480,LIFT ME UP,RIHANNA
UKWLG2100072,IF YOU REALLY LOVE ME (HOW WILL I KNOW),DAVID GUETTA/MISTAJAM/NEWMAN
GBAHS2201004,NOT OVER YET,KSI FT TOM GRENNAN
USUG12002836,CARDIGAN,TAYLOR SWIFT
GBUM71901153,MR SHEEEN,RUSS SPLASH/DIGGA D
USRC12101532,WOMAN,DOJA CAT
USAT21801174,HIGH HOPES,PANIC AT THE DISCO
GBARL2000986,OVER NOW,CALVIN HARRIS & WEEKND
GBAHS2200261,21 REASONS,NATHAN DAWE FT ELLA HENDERSON
USAT21600856,GOOD AS HELL,LIZZO
USUM72003024,I LOVE ME,DEMI LOVATO
UK4ZF2100524,OUT OUT,JOEL CORRY/JAX JONES/XCX
USUM71710835,PARANOID,POST MALONE
USUG11901473,LOVER,TAYLOR SWIFT
GBUM71900660,BETTER MAN,WESTLIFE
QZJ842000983,MISS THE RAGE,TRIPPIE REDD FT PLAYBOI CARTI
CYA111900301,GOD IS A DANCER,TIESTO & MABEL
GB1102200463,GREEN GREEN GRASS,GEORGE EZRA
USQX91803314,LOST IN THE FIRE,GESAFFELSTEIN FT WEEKND
GBAHS1901479,LESSONS,STORMZY
UKQNW2000003,WEST TEN,AJ TRACEY & MABEL
GBUM71902381,HOW DO YOU SLEEP,SAM SMITH
GB7TP1900216,OPP THOT,POUNDZ
USUM72013343,WHAT YOU KNOW BOUT LOVE,POP SMOKE
USUM72105935,NDA,BILLIE EILISH
QMJMT1801608,PHOTOGRAPH,J COLE
USUG11801809,DRIP TOO HARD,LIL BABY & GUNNA
USSM12105360,INDUSTRY BABY,LIL NAS X & JACK HARLOW
UK4ZF2000305,HEAD & HEART,JOEL CORRY FT MNEK
USSM12105970,EASY ON ME,ADELE
KRA401900005,KILL THIS LOVE,BLACKPINK
USUM71106449,BLOODY MARY,LADY GAGA
GBCEN2000044,SECRETS,REGARD & RAYE
QZNMX2257577,PAINTING PICTURES,SUPERSTAR PRIDE
USUG12000657,IN YOUR EYES,WEEKND
USSM12101640,RAPSTAR,POLO G
USUG12101248,JEALOUSY JEALOUSY,OLIVIA RODRIGO
USSM12002247,PARTY GIRL,STAYSOLIDROCKY
UKQNW2000001,DINNER GUEST,AJ TRACEY FT MOSTACK
